Title,Link,authors,year,abstract_text,source_url,title
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,"Catherine Moorwood, Anastassios Philippou, Janelle Spinazzola, Benjamin Keyser, Edward J Macarak, Elisabeth R Barton",2014,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,"Jianling Peng, Hilal Ilarslan, Eve Syrkin Wurtele, Diane C Bassham",2011,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,"Sang-Jin Kim, Diane C Bassham",2011,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,"Natalia Rzepecka, Yoko Ito, Kei Yura, Emi Ito, Tomohiro Uemura",2024,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"Rahul Roy, Diane C Bassham",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana"
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,"Rahul Roy, Diane C Bassham",2015,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"Rahul Roy, Diane C Bassham",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana"
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,"Martin P Kracklauer, Heather M Wiora, William J Deery, Xin Chen, Benjamin Bolival, Jr, Dwight Romanowicz, Rebecca A Simonette, Margaret T Fuller, Janice A Fischer, Kathleen M Beckingham",2010,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,"Katherine Taylor, Kurt Kleinhesselink, Michael D George, Rachel Morgan, Tangi Smallwood, Ann S Hammonds, Patrick M Fuller, Perot Saelao, Jeff Alley, Allen G Gibbs, Deborah K Hoshizaki, Laurence von Kalm, Charles A Fuller, Kathleen M Beckingham, Deborah A Kimbrell",2014,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M Galazka, Sylvain V Costes",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,"Afshin Beheshti, J Tyson McDonald, Jack Miller, Peter Grabham, Sylvain V Costes",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,"Daniel C Berrios, Afshin Beheshti, Sylvain V Costes",2018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,FAIRness and Usability for Open-access Omics Data Systems
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,"J Tyson McDonald, Robert Stainforth, Jack Miller, Thomas Cahill, Willian A da Silveira, Komal S Rathi, Gary Hardiman, Deanne Taylor, Sylvain V Costes, Vinita Chauhan, Robert Meller, Afshin Beheshti",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,"Sherina Malkani, Christopher R Chin, Egle Cekanaviciute, Marie Mortreux, Hazeem Okinula, Marcel Tarbier, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Candice GT Tahimic, Deyra N Rodriguez, Brittany S Sexton, Daniel Butler, Akanksha Verma, Daniela Bezdan, Ceyda Durmaz, Matthew MacKay, Ari Melnick, Cem Meydan, Sheng Li, Francine Garrett-Bakelman, Bastian Fromm, Ebrahim Afshinnekoo, Brad W Langhorst, Eileen T Dimalanta, Margareth Cheng-Campbell, Elizabeth Blaber, Jonathan C Schisler, Charles Vanderburg, Marc R Friedländer, J Tyson McDonald, Sylvain V Costes, Seward Rutkove, Peter Grabham, Christopher E Mason, Afshin Beheshti",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,"Pedro Madrigal, Nitin K Singh, Jason M Wood, Elena Gaudioso, Félix Hernández-del-Olmo, Christopher E Mason, Kasthuri Venkateswaran, Afshin Beheshti",2022,"El resumen (abstract) del documento es:

""Antimicrobial resistance (AMR) has a detrimental impact on human health on Earth and it is equally concerning in other environments such as space habitat due to microgravity, radiation and confinement, especially for long-distance space travel. We analyzed shotgun metagenomics data of the International Space Station (ISS) generated during the Microbial Tracking–1 (MT-1) project, and identified the AMR genes associated with whole genomes of 226 cultivable strains, 21 shotgun metagenome sequences, and 24 metagenome-assembled genomes (MAGs) retrieved from the ISS environmental samples. Our results demonstrated the advantages of machine learning to uncover concealed AMR determinants in metagenomics datasets, expanding the understanding of the ISS environmental microbiomes and their pathogenic potential in humans.""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,"Rosa Drago-Ferrante, Riccardo Di Fiore, Fathi Karouia, Yashwanth Subbannayya, Saswati Das, Begum Aydogan Mathyk, Shehbeel Arif, Ana Paula Guevara-Cerdán, Allen Seylani, Aman Singh Galsinh, Weronika Kukulska, Joseph Borg, Sherif Suleiman, David Marshall Porterfield, Andrea Camera, Lane K Christenson, April Elizabeth Ronca, Jonathan G Steller, Afshin Beheshti, Jean Calleja-Agius",2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,"Geraldine Vitry, Rebecca Finch, Gavin Mcstay, Afshin Behesti, Sébastien Déjean, Tricia Larose, Virginia Wotring, Willian Abraham da Silveira",2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,"Adrian Perdyan, Marcin Jąkalski, Monika Horbacz, Afshin Beheshti, Jakub Mieczkowski",2024,"Después de leer el texto completo, el resumen (abstract) limpiado de metadatos y sobrantes es:

Nuestro estudio proporciona nuevas perspectivas sobre la respuesta epigenética y trancriptómica, así como la influencia de la estructura multidimensional del cromosoma en el daño causado por la radiación cósmica galádica. Descubrimos que principalmente el 56Fe induce una aumento persistente en la metilación de ADN, mientras que el Si28 y las rayos X inducen una disminución de la metilación de ADN que no es persistente con el tiempo. Además, destacamos el papel de la arquitectura del cromosoma nuclear en la respuesta celular a la radiación externa.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,"S Anand Narayanan, David A Jamison, Jr, Joseph W Guarnieri, Victoria Zaksas, Michael Topper, Andrew P Koutnik, Jiwoon Park, Kevin B Clark, Francisco J Enguita, Ana Lúcia Leitão, Saswati Das, Pedro M Moraes-Vieira, Diego Galeano, Christopher E Mason, Nídia S Trovão, Robert E Schwartz, Jonathan C Schisler, Jordana G A Coelho-dos-Reis, Eve Syrkin Wurtele, Afshin Beheshti",2023,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection"
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,"Andrea Camera, Marshall Tabetah, Veronica Castañeda, JangKeun Kim, Aman Singh Galsinh, Alissen Haro-Vinueza, Ivonne Salinas, Allen Seylani, Shehbeel Arif, Saswati Das, Marcelo A Mori, Anthony Carano, Lorraine Christine de Oliveira, Masafumi Muratani, Richard Barker, Victoria Zaksas, Chirag Goel, Eleni Dimokidis, Deanne M Taylor, Jisu Jeong, Eliah Overbey, Cem Meydan, D Marshall Porterfield, Juan Esteban Díaz, Andrés Caicedo, Jonathan C Schisler, Evagelia C Laiakis, Christopher E Mason, Man S Kim, Fathi Karouia, Nathaniel J Szewczyk, Afshin Beheshti",2024,"Aquí está el resumen extraído del texto proporcionado:

""Human space exploration poses inherent risks to astronauts' health, leading to molecular changes that can significantly impact their well-being. These alterations encompass genomic instability, cellular senescence, and changes in the expression of circulating microRNAs, which are associated with aging and putative frailty biomarkers. In this study, we found that spaceflight altered the expression of these biomarkers in astronaut blood, suggesting that space travel has a profound impact on aging and health.""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,Aging and putative frailty biomarkers are altered by spaceflight
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,"J Tyson McDonald, JangKeun Kim, Lily Farmerie, Meghan L Johnson, Nidia S Trovao, Shehbeel Arif, Keith Siew, Sergey Tsoy, Yaron Bram, Jiwoon Park, Eliah Overbey, Krista Ryon, Jeffrey Haltom, Urminder Singh, Francisco J Enguita, Victoria Zaksas, Joseph W Guarnieri, Michael Topper, Douglas C Wallace, Cem Meydan, Stephen Baylin, Robert Meller, Masafumi Muratani, D Marshall Porterfield, Brett Kaufman, Marcelo A Mori, Stephen B Walsh, Dominique Sigaudo-Roussel, Saida Mebarek, Massimo Bottini, Christophe A Marquette, Eve Syrkin Wurtele, Robert E Schwartz, Diego Galeano, Christopher E Mason, Peter Grabham, Afshin Beheshti",2024,"El resumen del paper es:

""Se rescata el daño por radiación espacial mediante la inhibición de microRNAs clave asociadas con el vuelo espacial. Se encontró que la inhibición de miR-16-5p, miR-125b-5p y let-7a-5p rescató la función mitocondrial y redujo la inflamación y las roturas de doble cadena de ADN. Los resultados sugieren que una estrategia de tratamiento potencial puede ser utilizada por astronautas en misiones de vuelo espacial para mitigar el daño causado por la radiación espacial.""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,"Allen Seylani, Aman Singh Galsinh, Alexia Tasoula, Anu R I, Andrea Camera, Jean Calleja-Agius, Joseph Borg, Chirag Goel, JangKeun Kim, Kevin B Clark, Saswati Das, Shehbeel Arif, Michael Boerrigter, Caroline Coffey, Nathaniel Szewczyk, Christopher E Mason, Maria Manoli, Fathi Karouia, Hansjörg Schwertz, Afshin Beheshti, Dana Tulodziecki",2024,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,Ethical considerations for the age of non-governmental space exploration
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"Rachel Gilbert, Medaya Torres, Rachel Clemens, Shannon Hateley, Ravikumar Hosamani, William Wade, Sharmila Bhattacharya",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,"Stanley Walls, Soda Diop, Ryan Birse, Lisa Elmen, Zhuohui Gan, Sreehari Kalvakuri, Santiago Pineda, Curran Reddy, Erika Taylor, Bosco Trinh, Georg Vogler, Rachel Zarndt, Andrew McCulloch, Peter Lee, Sharmila Bhattacharya, Rolf Bodmer, Karen Ocorr",2020,"El resumen (abstract) del texto es:

""Understanding the effects of microgravity on human organs is crucial to exploration of low-earth orbit, the moon, and beyond. Drosophila can be sent to space in large numbers to examine the effects of microgravity on heart structure and function, which is fundamentally conserved from flies to humans. Flies reared in microgravity exhibit cardiac constriction with myofibrillar remodeling and diminished output. This was examined further on a second flight in which we found dramatically elevated proteasome aggregates co-localizing with increased amyloid and polyQ. Cardiac remodeling and proteostatic stress may be a fundamental response of heart muscle to microgravity.""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,"Judith García-González, Kasper van Gelderen",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,Bundling up the Role of the Actin Cytoskeleton in Primary Root Growth
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,"J Alan Sparks, Taegun Kwon, Luciana Renna, Fuqi Liao, Federica Brandizzi, Elison B Blancaflor",2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,"Taegun Kwon, J Alan Sparks, Fuqi Liao, Elison B Blancaflor",2018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,"Louise de Bang, Ana Paez-Garcia, Ashley E Cannon, Sabrina Chin, Jaydeep Kolape, Fuqi Liao, J Alan Sparks, Qingzhen Jiang, Elison B Blancaflor",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,Brassinosteroids Inhibit Autotropic Root Straightening by Modifying Filamentous-Actin Organization and Dynamics
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,"William Krogman, J Alan Sparks, Elison B Blancaflor",2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,Cell Type-Specific Imaging of Calcium Signaling in Arabidopsis thaliana Seedling Roots Using GCaMP3
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,"Sabrina Chin, Taegun Kwon, Bibi Rafeiza Khan, J Alan Sparks, Eileen L Mallery, Daniel B Szymanski, Elison B Blancaflor",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,"Yui Okamura, Kei Gochi, Tatsuya Ishikawa, Takuto Hayashi, Sayaka Fuseya, Riku Suzuki, Maho Kanai, Yuri Inoue, Yuka Murakami, Shunya Sadaki, Hyojung Jeon, Mio Hayama, Hiroto Ishii, Yuki Tsunakawa, Hiroki Ochi, Shingo Sato, Michito Hamada, Chikara Abe, Hironobu Morita, Risa Okada, Dai Shiba, Masafumi Muratani, Masahiro Shinohara, Taishin Akiyama, Takashi Kudo, Satoru Takahashi",2024,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,"Michael R Dorwart, Robin Wray, Chad A Brautigam, Youxing Jiang, Paul Blount",2010,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,S. aureus MscL Is a Pentamer In Vivo but of Variable Stoichiometries In Vitro: Implications for Detergent-Solubilized Membrane Proteins
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,"Li-Min Yang, Paul Blount",2011,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,Manipulating the permeation of charged compounds through the MscL nanovalve
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,"Irene Iscla, Robin Wray, Paul Blount",2011,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,"Li-Min Yang, Robin Wray, Juandell Parker, Danyell Wilson, Randolph S Duran, Paul Blount",2012,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,Three Routes to Modulate the Pore Size of the MscL Channel/Nanovalve
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,"Irene Iscla, Robin Wray, Paul Blount",2012,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,"Ian R Booth, Paul Blount",2012,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,The MscS and MscL Families of Mechanosensitive Channels Act as Microbial Emergency Release Valves
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,"Li-Min Yang, Dalian Zhong, Paul Blount",2013,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,,2016,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,"Correction for Boothby et al., Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade"
